,Open,High,Low,Close,Adj Close,Volume,Dividend
2017-12-29,120.94,124.085,117.4,123.65,123.65,145856704.0,0.0
2018-01-31,124.66,129.515,124.101,127.65,127.65,184868104.0,0.0
2018-02-28,127.18,128.7,124.39,125.0,125.0,176366913.0,0.0
2018-03-29,124.15,128.58,123.575,125.79,125.79,143365967.0,0.0
2018-04-30,126.65,129.47,124.1901,124.59,124.59,148669629.0,0.0
2018-05-31,123.9,125.59,121.97,123.1,123.1,136938743.0,0.0
2018-06-29,122.58,123.86,118.01,118.65,118.65,133559854.0,0.0
2018-07-31,118.18,119.73,115.12,115.99,115.99,130599149.0,0.0
2018-08-31,115.63,115.7,111.06,113.51,113.51,148359579.0,0.0
2018-09-28,112.75,114.78,111.8499,112.76,112.76,97357597.0,0.0
2018-10-31,112.4,117.65,111.9,115.15,115.15,228478085.0,0.0
2018-11-30,116.33,117.07,113.42,115.54,115.54,186730743.0,0.0
2018-12-31,116.6,121.26,116.295,121.25,121.25,178892931.0,0.0
2019-01-31,121.35,125.23,120.69,124.75,124.75,195175088.0,0.0
2019-02-28,124.89,127.21,123.19,123.99,123.99,141983910.0,0.0
2019-03-29,123.48,125.11,121.03,122.01,122.01,168880406.0,0.0
2019-04-30,122.4,123.77,119.55,121.2,121.2,124264260.0,0.0
2019-05-31,121.03,123.4,119.54,123.33,123.33,140575684.0,0.0
2019-06-28,124.09,135.55,123.9,133.2,133.2,205599640.0,0.0
2019-07-31,131.56,136.63,130.55,133.21,133.21,226438070.0,0.0
2019-08-30,132.42,145.68,132.305,143.75,143.75,330804250.0,0.0
2019-09-30,144.96,146.82,138.03,138.87,138.87,234827323.0,0.0
2019-10-31,138.07,143.25,137.8,142.43,142.43,178833753.0,0.0
2019-11-29,142.21,142.9,136.19,137.86,137.86,139211332.0,0.0
2019-12-31,137.314,143.605,137.3,142.9,142.9,121278122.0,0.0
2020-01-31,143.86,149.68,143.4,149.33,149.33,194522275.0,0.0
2020-02-28,148.66,158.53,145.8,148.38,148.38,254423104.0,0.0
2020-03-31,149.97,159.37,136.12,148.05,148.05,455515631.0,0.0
2020-04-30,148.2,164.42,147.85,158.8,158.8,259792444.0,0.0
2020-05-29,158.0,164.9599,157.8,162.91,162.91,235171837.0,0.0
2020-06-30,162.9235,167.99,157.035,167.37,167.37,221882495.0,0.0
2020-07-31,167.05,186.14,165.34,185.43,185.43,306225418.0,0.0
2020-08-31,185.05,194.4499,179.04,184.83,184.83,389458691.0,0.0
2020-09-30,186.99,186.99,173.77,177.12,177.12,219976709.0,0.0
2020-10-30,178.71,181.31,174.83,176.2,176.2,172325369.0,0.0
2020-11-30,177.4499,183.53,166.03,166.67,166.67,221582417.0,0.0
2020-12-31,169.76,178.4,169.3,178.36,178.36,177485471.0,0.0
2021-01-29,181.97,183.21,170.975,172.61,172.61,210863535.0,0.0
2021-02-26,175.02,175.26,160.95,161.81,161.81,179377121.0,0.0
2021-03-31,163.03,164.15,157.1297,159.96,159.96,213383902.0,0.0
2021-04-30,161.56,168.39,161.28,165.66,165.66,143031920.0,0.0
2021-05-28,167.61,178.61,165.5,178.38,178.38,199083799.0,0.0
2021-06-30,178.76,178.85,164.01,165.63,165.63,206642593.0,0.0
2021-07-30,166.65,171.52,165.5,169.82,169.82,145168220.0,0.0
2021-08-31,169.3,171.4,160.68,169.69,169.69,165320033.0,0.0
2021-09-30,169.94,171.55,160.97,164.22,164.22,160619697.0,0.0
2021-10-29,164.27,169.54,163.47,166.65,166.65,136145218.0,0.0
2021-11-30,167.38,174.67,164.38,165.5,165.5,161660513.0,0.0
2021-12-31,166.84,171.04,163.8,170.96,170.96,151120487.0,0.0
2022-01-31,168.86,173.1499,166.365,168.09,168.09,210786302.0,0.0
2022-02-28,168.57,182.6,167.03,178.38,178.38,254448170.0,0.0
2022-03-31,179.0456,193.3,176.69,180.65,180.65,376395052.0,0.0
2022-04-29,179.5501,186.1,175.5,176.91,176.91,194984836.0,0.0
2022-05-31,173.6121,177.61,168.01,171.14,171.14,179885420.0,0.0
2022-06-30,172.2099,174.94,168.24,168.46,168.46,145737063.0,0.0
2022-07-29,167.135,168.68,158.025,164.1,164.1,134819994.0,0.0
2022-08-31,164.98,167.98,159.255,159.27,159.27,110100252.0,0.0
2022-09-30,158.17,161.62,151.0301,154.67,154.67,139388023.0,0.0
2022-10-31,155.438,161.08,151.27,151.91,151.91,118408258.0,0.0
2022-11-30,153.82,166.23,150.5703,164.81,164.81,114982275.0,0.0
2022-12-30,167.48,170.61,164.3201,169.64,169.64,106823105.0,0.0
2023-01-31,171.32,181.22,169.79,179.41,179.41,118786883.0,0.0
2023-02-28,179.75,181.73,168.19,169.78,169.78,113813799.0,0.0
2023-03-31,170.95,186.24,168.52,183.22,183.22,223198008.0,0.0
2023-04-28,183.85,190.41,183.22,184.8,184.8,170692301.0,0.0
2023-05-31,186.05,191.36,180.09,182.32,182.32,181005078.0,0.0
2023-06-30,182.81,184.21,175.79,178.27,178.27,133978121.0,0.0
2023-07-31,178.61,184.23,176.66,182.35,182.35,99854633.0,0.0
2023-08-31,180.85,181.375,174.93,180.02,180.02,140446026.0,0.0
2023-09-29,180.8,181.12,171.265,171.45,171.45,122807360.0,0.0
2023-10-31,170.23,186.36,168.3,184.09,184.09,222534517.0,0.0
2023-11-30,183.91,189.99,179.11,188.75,188.75,143767716.0,0.0
2023-12-29,188.805,193.1823,183.1513,191.17,191.17,153448704.0,0.0
2024-01-31,191.44,191.89,185.45,188.45,188.45,124525258.0,0.0
2024-02-29,189.71,191.36,183.78,189.31,189.31,118521138.0,0.0
2024-03-28,190.27,206.05,189.44,205.72,205.72,162025268.0,0.0
2024-04-30,208.68,225.09,206.29,211.87,211.87,252787515.0,0.0
2024-05-31,212.96,225.66,210.71,215.3,215.3,141708419.0,0.0
2024-06-28,215.92,219.97,211.54,215.01,215.01,108836267.0,0.0
2024-07-31,215.25,229.65,214.485,226.55,226.55,138677674.0,0.0
2024-08-30,226.74,234.01,220.11,231.29,231.29,147220567.0,0.0
2024-09-30,230.38,247.37,228.52,243.06,243.06,130558505.0,0.0
2024-10-31,245.2,257.71,240.63,253.51,253.51,145961544.0,0.0
2024-11-29,254.33,254.86,236.1326,245.59,245.59,152749349.0,0.0
2024-12-31,244.46,251.26,238.73,242.13,242.13,115487720.0,0.0
2025-01-31,244.22,259.99,242.05,258.56,258.56,141392444.0,0.0
2025-02-28,259.75,272.32,259.5236,263.27,263.27,178992754.0,0.0
2025-03-31,265.07,288.39,265.07,288.14,288.14,180771098.0,0.0
2025-04-30,288.54,317.63,272.58,303.77,303.77,354296201.0,0.0
2025-05-30,297.41,315.62,291.78,303.6,303.6,235251139.0,0.0
2025-06-30,309.21,317.6,299.89,304.83,304.83,199603432.0,0.0
2025-07-31,308.555,316.24,300.955,302.96,302.96,202609893.0,0.0
2025-08-29,308.61,318.09,305.19,318.07,318.07,178578117.0,0.0
2025-09-30,320.82,355.57,320.24,355.47,355.47,301716055.0,0.0
2025-10-29,356.17,403.3,351.4,363.0,363.0,527133615.0,0.0
